city;Latitude;Longitude
â€™s-Hertogenbosch;51.6833;5.3167
Hurwenen;51.8106;5.3178
Luyksgestel;51.29;5.3239
Nederlangbroek;52.0122;5.3269
Boxtel;51.5911;5.3275
Hoenzadriel;51.75;5.3333
Buren;51.9108;5.3336
Rossum;51.8008;5.3356
Kerkdriel;51.7711;5.3367
Wijk bij Duurstede;51.9742;5.3417
Doorn;52.0333;5.35
Staveren;52.8833;5.3583
Sint-Michielsgestel;51.6433;5.3586
Bergeijk;51.3203;5.3592
Rosmalen;51.7167;5.3667
Varik;51.8233;5.3692
Den Dungen;51.6653;5.3714
Wadenoijen;51.8736;5.3722
Maarn;52.0642;5.3731
Bunschoten-Spakenburg;52.2417;5.3748
Ophemert;51.8453;5.3842
Riethoven;51.3536;5.3864
Amersfoort;52.155;5.3875
Best;51.5075;5.3903
Heerewaarden;51.8178;5.3917
Darthuizen;52.0125;5.3981
Veldhoven;51.4197;5.3992
Berlicum;51.6772;5.4
Woudenberg;52.0806;5.4164
Maurik;51.96;5.4236
Harlingen;53.1736;5.4272
Leusden;52.1331;5.4297
Dommelen;51.3569;5.4306
Dreumel;51.8492;5.4325
Stoutenburg;52.1539;5.4325
Tiel;51.8833;5.4333
Schijndel;51.6183;5.4364
Lith;51.8042;5.4408
Waalre;51.3867;5.4456
Hoevelaken;52.175;5.4583
Valkenswaard;51.35;5.4592
Sint-Oedenrode;51.5636;5.4608
Amerongen;52.0025;5.4608
Lithoijen;51.8025;5.4633
Geffen;51.7392;5.4639
Heeswijk;51.6514;5.4672
Wamel;51.88;5.4692
Eindhoven;51.4408;5.4778
Lelystad;52.5167;5.4833
Scherpenzeel;52.0667;5.4833
Nijkerk;52.2214;5.4842
Dinther;51.645;5.4864
Son en Breugel;51.5158;5.5022
Zeewolde;52.3333;5.5167
Beneden-Leeuwen;51.8811;5.5178
Oss;51.765;5.5181
Lienden;51.9467;5.5189
Boven-Leeuwen;51.8842;5.5294
Heesch;51.7314;5.53
IJzendoorn;51.9064;5.5331
Bolsward;53.0667;5.5333
Maasbommel;51.8208;5.5364
Zes Gehuchten;51.4211;5.5378
Franeker;53.1875;5.54
Renswoude;52.0739;5.5406
Veghel;51.6169;5.5481
Nuenen;51.4667;5.55
Leende;51.3497;5.5525
Veenendaal;52.025;5.555
Geldrop;51.4222;5.5578
Ochten;51.9078;5.5678
Rhenen;51.9597;5.5689
Heeze;51.3828;5.5715
Budel;51.2725;5.5744
Berghem;51.77;5.5747
Balk;52.8983;5.5783
Barneveld;52.1333;5.5833
Wommels;53.1088;5.5875
Cranendonck;51.2853;5.5881
Puiflijk;51.8792;5.5903
Druten;51.8889;5.6044
Erp;51.6003;5.6053
Urk;52.6653;5.6058
Voorthuizen;52.1861;5.6067
Putten;52.2579;5.608
Horssen;51.8556;5.6086
Uden;51.6667;5.6167
Harderwijk;52.3506;5.6172
Beek en Donk;51.5161;5.6208
Lunteren;52.0872;5.6219
Deursen;51.802;5.625
Batenburg;51.8233;5.6278
Opheusden;51.9333;5.6297
Ermelo;52.3;5.6331
Herpen;51.7717;5.6417
Sloten;52.8944;5.6453
Oud-Vroenhoven;50.8478;5.6514
Dodewaard;51.9103;5.6568
Sint Annaparochie;53.2764;5.6572
Sneek;53.0325;5.66
Menaam;53.2158;5.6606
Helmond;51.4817;5.6611
Ede;52.0436;5.6667
Wageningen;51.97;5.6667
Bergharen;51.85;5.6689
Zeeland;51.6967;5.6731
Boekel;51.6011;5.6742
Bennekom;51.9994;5.6756
Hernen;51.8331;5.6806
Lierop;51.4178;5.6819
Reek;51.7447;5.6831
Gemert;51.5558;5.6867
Ballum;53.4441;5.6876
Borgharen;50.8781;5.6883
Maastricht;50.8483;5.6889
Ewijk;51.8833;5.7
Winssen;51.8833;5.7
Weurt;51.8833;5.7
Weert;51.251;5.709
Lemmer;52.8437;5.7093
Eijsden;50.7778;5.7108
Someren;51.3847;5.7119
Dronten;52.5242;5.7125
Garderen;52.2331;5.7139
Balgoij;51.7803;5.7139
Velp;51.7478;5.7172
Stramproy;51.1933;5.7192
Wijchen;51.8067;5.7211
Heer;50.8406;5.7269
Gronsveld;50.8086;5.73
Rijckholt;50.7994;5.7311
Mesch;50.7631;5.7328
Bunde;50.8958;5.7331
Amby;50.8667;5.7333
Grave;51.7592;5.7383
Asten;51.4031;5.7472
Herveld;51.8989;5.7475
Nederweert;51.2858;5.7486
Geulle;50.9225;5.7503
Emmeloord;52.7097;5.7508
Meerssen;50.8858;5.7519
Elsloo;50.971;5.7541
Heteren;51.9575;5.755
Stiens;53.2608;5.7575
Vlierden;51.4456;5.7581
Stein;50.9679;5.7652
Sint Geertruid;50.7964;5.7656
Beuningen;51.8667;5.7667
Cadier en Keer;50.8283;5.7678
Urmond;50.9906;5.7711
Grevenbicht;51.0417;5.7728
Gassel;51.7403;5.7803
Leeuwarden;53.2;5.7833
Otterlo;52.1;5.7833
Nunspeet;52.3667;5.7833
Mill;51.685;5.7836
Hallum;53.3064;5.7856
Overasselt;51.7597;5.7875
Valburg;51.9111;5.7892
Mheer;50.7828;5.7931
Deurne;51.4639;5.7947
Doorwerth;51.9781;5.7953
Beek;50.9394;5.7961
Joure;52.9661;5.7997
Neeritter;51.1644;5.8036
Driel;51.9592;5.8131
Noorbeek;50.7681;5.8131
Doornspijk;52.4192;5.8161
Wanroij;51.6561;5.82
Margraten;50.8225;5.8203
Ittervoort;51.1719;5.8211
Schimmert;50.9056;5.8219
Ferwert;53.3378;5.8247
Grou;53.1;5.83
Valkenburg;50.8652;5.832
